Charlson comorbidity index and Read codes in CPRD,,,
Charlson_index,Medcode,Readcode,Readterm
1,17345,G714.11,AAA - Abdominal aortic aneurysm without mention of rupture
1,17767,G713.00,Abdominal aortic aneurysm which has ruptured
1,1867,G714.00,Abdominal aortic aneurysm without mention of rupture
1,41020,66YC.00,Absent from work or school due to asthma
6,36294,A788z00,Acquired human immunodeficiency virus infection syndrome NOS
6,23770,A788.00,Acquired immune deficiency syndrome
1,68277,N001.11,Acrosclerosis
1,12229,G30X000,Acute ST segment elevation myocardial infarction
1,12139,G300.00,Acute anterolateral infarction
1,17872,G301100,Acute anteroseptal infarction
1,23707,G580000,Acute congestive heart failure
1,18027,J120.00,Acute duodenal ulcer
1,53797,J120z00,Acute duodenal ulcer NOS
1,53822,J120y00,Acute duodenal ulcer unspecified
1,18001,J120100,Acute duodenal ulcer with haemorrhage
1,48730,J120300,Acute duodenal ulcer with haemorrhage and perforation
1,73417,J120400,Acute duodenal ulcer with obstruction
1,18324,J120200,Acute duodenal ulcer with perforation
1,44335,J120000,Acute duodenal ulcer without mention of complication
2,42539,B670.00,Acute erythraemia and erythroleukaemia
1,185,H333.00,Acute exacerbation of asthma
1,24040,J110.00,Acute gastric ulcer
1,44324,J110z00,Acute gastric ulcer NOS
1,24342,J110y00,Acute gastric ulcer unspecified
1,30054,J110100,Acute gastric ulcer with haemorrhage
1,71403,J110300,Acute gastric ulcer with haemorrhage and perforation
1,109546,J110400,Acute gastric ulcer with obstruction
1,14671,J110200,Acute gastric ulcer with perforation
1,64165,J110000,Acute gastric ulcer without mention of complication
1,45184,J140.00,Acute gastrojejunal ulcer
1,42274,J140z00,Acute gastrojejunal ulcer NOS
1,96628,J140100,Acute gastrojejunal ulcer with haemorrhage
1,106330,J140300,Acute gastrojejunal ulcer with haemorrhage and perforation
1,102177,J140200,Acute gastrojejunal ulcer with perforation
1,27964,G582.00,Acute heart failure
1,8935,G302.00,Acute inferolateral infarction
1,29643,G303.00,Acute inferoposterior infarction
1,5255,G581000,Acute left ventricular failure
2,4072,B680.00,Acute leukaemia NOS
2,4251,B640.00,Acute lymphoid leukaemia
2,19974,B660.00,Acute monocytic leukaemia
2,28276,B675.00,Acute myelofibrosis
2,4413,B650.00,Acute myeloid leukaemia
2,61500,B690.00,Acute myelomonocytic leukaemia
1,241,G30..00,Acute myocardial infarction
1,14658,G30z.00,Acute myocardial infarction NOS
2,67460,K001.00,Acute nephritis with lesions of necrotising glomerulitis
1,9507,G307000,Acute non-Q wave infarction
1,10562,G307100,Acute non-ST segment elevation myocardial infarction
2,50858,B674.00,Acute panmyelosis
1,32856,J130.00,Acute peptic ulcer
1,50048,J130z00,Acute peptic ulcer NOS
1,67711,J130y00,Acute peptic ulcer unspecified
1,44637,J130100,Acute peptic ulcer with haemorrhage
1,45304,J130300,Acute peptic ulcer with haemorrhage and perforation
1,5521,J130200,Acute peptic ulcer with perforation
1,68661,J130000,Acute peptic ulcer without mention of complication
2,27664,B65y100,Acute promyelocytic leukaemia
2,64482,K101000,Acute pyelonephritis without medullary necrosis
2,46242,K041.00,Acute renal cortical necrosis
2,25582,K04z.00,Acute renal failure NOS
2,31369,K042.00,Acute renal medullary necrosis
1,3704,G307.00,Acute subendocardial infarction
1,92955,H32y000,Acute vesicular emphysema
1,53704,J600200,Acute yellow atrophy
1,7059,8H2J.00,Admit diabetic emergency
1,32898,8H2S.00,Admit heart failure emergency
2,37461,B64y200,Adult T-cell leukaemia
2,10099,F420300,Advanced diabetic maculopathy
1,4743,J612.00,Alcoholic cirrhosis of liver
1,46977,H35z.00,Allergic alveolitis and pneumonitis NOS
1,53095,H35zz00,Allergic alveolitis and pneumonitis NOS
1,21232,H33zz12,Allergic asthma NEC
1,18207,H33zz13,Allergic bronchitis NEC
2,9491,B142.11,Anal carcinoma
2,108667,B1z1000,Angiosarcoma of spleen
1,63001,J112.00,Anti-platelet induced gastric ulcer
1,1735,G71..00,Aortic aneurysm
1,6872,G71z.00,Aortic aneurysm NOS
1,1736,7A14.11,Aortic aneurysm repair
1,16034,G716.00,Aortic aneurysm without mention of rupture NOS
1,19477,E004.00,Arteriosclerotic dementia
1,42279,E004z00,Arteriosclerotic dementia NOS
1,56912,E004100,Arteriosclerotic dementia with delirium
1,43292,E004300,Arteriosclerotic dementia with depression
1,55467,E004200,Arteriosclerotic dementia with paranoia
1,8303,H41..00,Asbestosis
1,51410,H41z.00,Asbestosis NOS
1,41017,1780,Aspirin induced asthma
1,78,H33..00,Asthma
1,13066,663h.00,Asthma - currently dormant
,232,H33z100,Asthma attack
1,8335,H33z111,Asthma attack NOS
1,31225,663t.00,Asthma causes daytime symptoms 1 to 2 times per month
1,24884,663u.00,Asthma causes daytime symptoms 1 to 2 times per week
1,26503,663v.00,Asthma causes daytime symptoms most days
1,39570,663r.00,Asthma causes night symptoms 1 to 2 times per month
1,30815,663N000,Asthma causing night waking
1,11370,1O2..00,Asthma confirmed
1,42824,663q.00,Asthma daytime symptoms
1,7416,663N.00,Asthma disturbing sleep
1,38146,663N100,Asthma disturbs sleep weekly
1,7191,663P.00,Asthma limiting activities
1,38144,663w.00,Asthma limits walking up hills or stairs
1,8355,9OJA.11,Asthma monitored
1,26501,663s.00,Asthma never causes daytime symptoms
1,26504,663f.00,Asthma never restricts exercise
1,31167,66YP.00,Asthma night-time symptoms
1,7229,663W.00,Asthma prophylactic medication used
1,25181,663e.00,Asthma restricts exercise
1,26506,6.63E+102,Asthma severely restricts exercise
1,26861,6.63E+02,Asthma sometimes restricts exercise
1,19519,663p.00,Asthma treatment compliance unsatisfactory
1,4442,H33z.00,Asthma unspecified
6,58859,A788100,Asymptomatic human immunodeficiency virus infection
1,70787,H32y100,Atrophic (senile) emphysema
1,46529,9OJ1.00,Attends asthma monitoring
1,62200,H351.00,Bagassosis
1,92695,7612111,Balfour excision of gastric ulcer
1,94894,H431.00,Bauxite fibrosis of lung
1,49194,H432.00,Berylliosis
1,9494,J616.00,Biliary cirrhosis
1,58630,J616z00,Biliary cirrhosis NOS
1,27345,H352.00,Bird-fancier's lung
1,36240,H352z00,Bird-fancier's lung NOS
1,11124,J110111,Bleeding acute gastric ulcer
1,18625,J121111,Bleeding chronic duodenal ulcer
1,36583,J111111,Bleeding chronic gastric ulcer
1,40823,H334.00,Brittle asthma
1,1555,H33..11,Bronchial asthma
1,2195,H34..00,Bronchiectasis
1,32679,H34z.00,Bronchiectasis NOS
1,3480,H30z.00,Bronchitis NOS
1,38639,H460.00,Bronchitis and pneumonitis due to chemical fumes
1,55758,H460z00,Bronchitis and pneumonitis due to chemical fumes NOS
1,148,H30..00,Bronchitis unspecified
1,54822,H352000,Budgerigar-fanciers' lung
2,21402,B602.00,Burkitt's lymphoma
2,71304,B602z00,Burkitt's lymphoma NOS
2,97577,B602300,Burkitt's lymphoma of intra-abdominal lymph nodes
2,100006,B602200,Burkitt's lymphoma of intrathoracic lymph nodes
2,59115,B602100,"Burkitt's lymphoma of lymph nodes of head, face and neck"
2,92380,B602500,Burkitt's lymphoma of lymph nodes of inguinal region and leg
1,37365,H440.00,Byssinosis
1,3540,1761,C/O bronchial catarrh
1,6960,G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage
2,348,B34..11,Ca female breast
2,11628,B1z0.11,Cancer of bowel
2,1986,B440.11,Cancer of ovary
2,2755,B....11,Cancers
1,26442,H441.00,Cannabinosis
1,56838,N04y011,Caplan's syndrome
2,36495,B161211,Carcinoma common bile duct
2,31393,B160.11,Carcinoma gallbladder
2,9902,B3...11,"Carcinoma of bone, connective tissue, skin and breast"
2,22163,B134.11,Carcinoma of caecum
2,3357,B1...11,Carcinoma of digestive organs and peritoneum
2,16874,B4...11,Carcinoma of genitourinary organ
2,9984,B00..11,Carcinoma of lip
2,24374,B0...11,"Carcinoma of lip, oral cavity and pharynx"
2,8693,B5...11,Carcinoma of other and unspecified sites
2,7219,B141.11,Carcinoma of rectum
2,45307,B2...11,Carcinoma of respiratory tract and intrathoracic organs
6,6170,B590.11,Carcinomatosis
1,1223,G58..11,Cardiac failure
1,17278,G58z.12,Cardiac failure NOS
1,24503,8B29.00,Cardiac failure therapy
1,27438,J615700,Cardiac portal cirrhosis
1,30421,G30..13,Cardiac rupture following myocardial infarction (MI)
1,10980,H322.00,Centrilobular emphysema
1,13564,G613.00,Cerebellar haemorrhage
1,54744,F11x200,Cerebral degeneration due to cerebrovascular disease
1,27975,G641000,Cerebral infarction due to embolism of cerebral arteries
6,5199,B583200,Cerebral metastasis
2,10851,B51..11,Cerebral tumour - malignant
1,2418,G6...00,Cerebrovascular disease
1,10062,G6z..00,Cerebrovascular disease NOS
2,3230,B41..11,Cervical carcinoma (uterus)
1,17359,H30..11,Chest infection - unspecified bronchitis
1,1208,H330.12,Childhood asthma
2,52327,B653000,Chloroma
2,5062,B30..11,Chondroma
2,28003,B420.00,Choriocarcinoma
2,56893,K0A3300,Chron neph syn difus mesangial prolifrtiv glomerulonephritis
2,57168,K0A3200,Chron nephritic syndrom difuse membranous glomerulonephritis
1,9029,J614100,Chronic active hepatitis
1,1755,J614200,Chronic aggressive hepatitis
1,7602,J617000,Chronic alcoholic hepatitis
1,5798,H312000,Chronic asthmatic bronchitis
1,3243,H31..00,Chronic bronchitis
1,15157,H31z.00,Chronic bronchitis NOS
1,26306,H320.00,Chronic bullous emphysema
1,23492,H320z00,Chronic bullous emphysema NOS
1,15626,H310000,Chronic catarrhal bronchitis
1,32671,G580100,Chronic congestive heart failure
2,65400,K02y300,Chronic diffuse glomerulonephritis
1,9853,J121.00,Chronic duodenal ulcer
1,51406,J121z00,Chronic duodenal ulcer NOS
1,52138,J121y00,Chronic duodenal ulcer unspecified
1,71881,J121300,Chronic duodenal ulcer with haemorrhage and perforation
1,44073,J121400,Chronic duodenal ulcer with obstruction
1,33438,J121000,Chronic duodenal ulcer without mention of complication
1,64721,H464000,Chronic emphysema due to chemical fumes
2,100786,B651000,Chronic eosinophilic leukaemia
2,37468,B671.00,Chronic erythraemia
2,4669,K02y200,Chronic focal glomerulonephritis
1,18654,J111.00,Chronic gastric ulcer
1,44309,J111z00,Chronic gastric ulcer NOS
1,64556,J111y00,Chronic gastric ulcer unspecified
1,63582,J111100,Chronic gastric ulcer with haemorrhage
1,71897,J111300,Chronic gastric ulcer with haemorrhage and perforation
1,67356,J111400,Chronic gastric ulcer with obstruction
1,53336,J111200,Chronic gastric ulcer with perforation
1,48946,J111000,Chronic gastric ulcer without mention of complication
1,96090,J141.00,Chronic gastrojejunal ulcer
1,110244,J141300,Chronic gastrojejunal ulcer with haemorrhage and perforation
2,7804,K02..00,Chronic glomerulonephritis
2,97758,K02y000,Chronic glomerulonephritis + diseases EC
2,15097,K02z.00,Chronic glomerulonephritis NOS
2,31701,B651.11,Chronic granulocytic leukaemia
1,1754,J614.00,Chronic hepatitis
1,15489,J614z00,Chronic hepatitis NOS
1,53877,J614y00,Chronic hepatitis unspecified
2,29013,1Z10.00,Chronic kidney disease stage 1
2,12586,1Z11.00,Chronic kidney disease stage 2
2,12566,1Z12.00,Chronic kidney disease stage 3
2,12479,1Z13.00,Chronic kidney disease stage 4
2,12585,1Z14.00,Chronic kidney disease stage 5
2,16416,B681.00,Chronic leukaemia NOS
2,27790,B641.11,Chronic lymphatic leukaemia
2,8625,B641.00,Chronic lymphoid leukaemia
2,61494,K022.00,Chronic membranoproliferative glomerulonephritis
2,10809,K021.00,Chronic membranous glomerulonephritis
2,27458,B661.00,Chronic monocytic leukaemia
2,10726,B651.00,Chronic myeloid leukaemia
2,27520,B651z00,Chronic myeloid leukaemia NOS
2,22050,B691.00,Chronic myelomonocytic leukaemia
2,73026,K0A3500,Chronic neph syn difus mesangiocapillary glomerulonephritis
2,60857,K0A3700,Chronic nephritic syn diffuse crescentic glomerulonephritis
2,102783,B651200,Chronic neutrophilic leukaemia
1,37247,H3z..11,Chronic obstructive pulmonary disease NOS
1,40997,J131.00,Chronic peptic ulcer
1,69663,J131z00,Chronic peptic ulcer NOS
1,70390,J131y00,Chronic peptic ulcer unspecified
1,53126,J131100,Chronic peptic ulcer with haemorrhage
1,52313,J131400,Chronic peptic ulcer with obstruction
1,37620,J131200,Chronic peptic ulcer with perforation
1,99430,J131000,Chronic peptic ulcer without mention of complication
1,23578,J614000,Chronic persistent hepatitis
1,47782,H464200,Chronic pulmonary fibrosis due to chemical fumes
1,22536,H4y1000,Chronic pulmonary fibrosis following radiation
2,57568,K100100,Chronic pyelonephritis with medullary necrosis
2,99631,K100000,Chronic pyelonephritis without medullary necrosis
2,65064,K023.00,Chronic rapidly progressive glomerulonephritis
2,512,K05..00,Chronic renal failure
1,45089,H31y100,Chronic tracheobronchitis
1,5909,H312011,Chronic wheezy bronchitis
1,16725,J615.00,Cirrhosis - non alcoholic
1,6863,J61..00,Cirrhosis and chronic liver disease
1,1638,J615z13,Cirrhosis of liver NOS
1,6853,G73z011,Claudication
1,38304,S620.00,Closed traumatic subarachnoid haemorrhage
1,64014,761J100,Closure of gastric ulcer NEC
1,4741,7627000,Closure of perforated duodenal ulcer
1,20677,761J000,Closure of perforated gastric ulcer
1,19492,H40..00,Coal workers' pneumoconiosis
2,9118,B13z.11,Colonic cancer
1,11424,G580300,Compensated cardiac failure
1,54893,H582.00,Compensatory emphysema
2,37160,F230000,Congenital paraplegia
1,2906,G580.11,Congestive cardiac failure
1,5141,G554000,Congestive cardiomyopathy
1,398,G580.00,Congestive heart failure
1,2491,G30..12,Coronary thrombosis
1,18739,J615z12,Cryptogenic cirrhosis of liver
1,27884,G580200,Decompensated cardiac failure
1,25386,E041.00,Dementia in conditions EC
2,24375,B339.00,Dermatofibrosarcoma protuberans
1,47684,H47y000,Detergent asthma
2,27340,B670.11,Di Guglielmo's disease
1,711,C10..00,Diabetes mellitus
1,72345,C102z00,Diabetes mellitus NOS with hyperosmolar coma
1,42505,C101z00,Diabetes mellitus NOS with ketoacidosis
1,65062,C103z00,Diabetes mellitus NOS with ketoacidotic coma
2,22573,C106z00,Diabetes mellitus NOS with neurological manifestation
1,50972,C100z00,Diabetes mellitus NOS with no mention of complication
2,34283,C105z00,Diabetes mellitus NOS with ophthalmic manifestation
1,70821,C10yz00,Diabetes mellitus NOS with other specified manifestation
1,65025,C107z00,Diabetes mellitus NOS with peripheral circulatory disorder
1,64357,C10zz00,Diabetes mellitus NOS with unspecified complication
1,36695,C10D.00,Diabetes mellitus autosomal dominant type 2
1,61122,C10H.00,Diabetes mellitus induced by non-steroid drugs
1,32403,C107.11,Diabetes mellitus with gangrene
1,21482,C102.00,Diabetes mellitus with hyperosmolar coma
1,1682,C101.00,Diabetes mellitus with ketoacidosis
1,15690,C103.00,Diabetes mellitus with ketoacidotic coma
2,35107,C104z00,Diabetes mellitus with nephropathy NOS
2,16230,C106.00,Diabetes mellitus with neurological manifestation
2,7795,C106.12,Diabetes mellitus with neuropathy
1,38986,C100.00,Diabetes mellitus with no mention of complication
2,33254,C105.00,Diabetes mellitus with ophthalmic manifestation
1,33343,C10y.00,Diabetes mellitus with other specified manifestation
1,35399,C107.00,Diabetes mellitus with peripheral circulatory disorder
2,16491,C106.13,Diabetes mellitus with polyneuropathy
1,45491,C10z.00,Diabetes mellitus with unspecified complication
2,39317,C106100,"Diabetes mellitus, adult onset, + neurological manifestation"
2,41389,C105100,"Diabetes mellitus, adult onset, + ophthalmic manifestation"
1,63762,C10z100,"Diabetes mellitus, adult onset, + unspecified complication"
1,14803,C100100,"Diabetes mellitus, adult onset, no mention of complication"
1,43139,C102100,"Diabetes mellitus, adult onset, with hyperosmolar coma"
1,54856,C101100,"Diabetes mellitus, adult onset, with ketoacidosis"
1,33807,C107200,"Diabetes mellitus, adult with gangrene"
1,63371,C10y100,"Diabetes mellitus, adult, + other specified manifestation"
1,63357,C107100,"Diabetes mellitus, adult, + peripheral circulatory disorder"
1,70448,C107000,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
2,69748,C105000,"Diabetes mellitus, juvenile type, + ophthalmic manifestation"
1,24490,C100000,"Diabetes mellitus, juvenile type, no mention of complication"
1,40023,C102000,"Diabetes mellitus, juvenile type, with hyperosmolar coma"
1,53200,C101000,"Diabetes mellitus, juvenile type, with ketoacidosis"
1,42567,C103000,"Diabetes mellitus, juvenile type, with ketoacidotic coma"
2,93922,C104000,"Diabetes mellitus, juvenile type, with renal manifestation"
1,32556,C107.12,Diabetes with gangrene
1,43951,66AK.00,Diabetic - cooperative patient
1,13071,66AI.00,Diabetic - good control
1,2378,66AJ.00,Diabetic - poor control
1,22023,66AJz00,Diabetic - poor control NOS
2,59903,C106.11,Diabetic amyotrophy
2,2340,F381311,Diabetic amyotrophy
1,6125,66AS.00,Diabetic annual review
2,10659,F464000,Diabetic cataract
2,3837,F420400,Diabetic maculopathy
2,37315,F3y0.00,Diabetic mononeuropathy
2,2475,C104.11,Diabetic nephropathy
2,2342,F372.12,Diabetic neuropathy
1,8842,66A5.00,Diabetic on insulin
1,28769,66AV.00,Diabetic on insulin and oral treatment
1,34152,G73y000,Diabetic peripheral angiopathy
2,5002,F372.11,Diabetic polyneuropathy
2,1323,F420.00,Diabetic retinopathy
2,11626,F420z00,Diabetic retinopathy NOS
1,24363,8A13.00,Diabetic stabilisation
1,3450,J615300,Diffuse nodular cirrhosis
2,50695,B627500,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma
2,70509,B627D00,Diffuse non-Hodgkin's centroblastic lymphoma
2,53551,B627600,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
2,17460,B627700,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
2,65180,B627800,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
2,39798,B627X00,"Diffuse non-Hodgkin's lymphoma, unspecified"
2,50668,B627300,Diffuse non-Hodgkin's small cell (diffuse) lymphoma
2,108182,B627400,Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma
1,16521,G710.00,Dissecting aortic aneurysm
1,20007,N000000,Disseminated lupus erythematosus
6,13569,B590.00,Disseminated malignancy NOS
1,36942,N000200,Drug-induced systemic lupus erythematosus
1,3462,J123.00,Duodenal erosion
1,352,J12..00,Duodenal ulcer - (DU)
1,15175,J12z.00,Duodenal ulcer NOS
1,22918,J122.00,Duodenal ulcer disease
1,7058,8H2P.00,"Emergency admission, asthma"
1,17220,7A13.11,Emergency repair of aortic aneurysm
1,794,H32..00,Emphysema
1,33450,H32z.00,Emphysema NOS
1,14798,H312100,Emphysematous bronchitis
2,6712,K050.00,End stage renal failure
1,96456,N060.11,Endemic polyarthritis
1,63718,761D600,Endoscopic injection haemostasis of gastric ulcer
2,5034,B33..12,Epithelioma
1,7017,7004300,Evacuation of intracerebral haematoma NEC
1,5867,173A.00,Exercise induced asthma
1,4606,H33zz11,Exercise induced asthma
1,7146,H330.00,Extrinsic (atopic) asthma
1,11312,H35..00,Extrinsic allergic alveolitis
1,45782,H330z00,Extrinsic asthma NOS
1,6707,H330111,Extrinsic asthma with asthma attack
1,14777,H330000,Extrinsic asthma without status asthmaticus
1,15588,H350.00,Farmers' lung
1,44676,J615400,Fatty portal cirrhosis
1,23552,N041.00,Felty's syndrome
1,37959,H311100,Fetid chronic bronchitis
2,72224,B1z1100,Fibrosarcoma of spleen
1,28853,N04y012,Fibrosing alveolitis associated with rheumatoid arthritis
2,39085,F220.00,Flaccid hemiplegia
2,46175,F241000,Flaccid paraplegia
1,8350,N040T00,Flare of rheumatoid arthritis
1,68376,J612.11,Florid cirrhosis
2,67995,K032000,Focal membranoproliferative glomerulonephritis
2,17182,B627C11,Follicular lymphoma NOS
2,70842,B627100,Follicular non-Hodg mixed sml cleavd & lge cell lymphoma
2,49262,B627200,Follicular non-Hodgkin's large cell lymphoma
2,21549,B627C00,Follicular non-Hodgkin's lymphoma
2,28639,B627000,Follicular non-Hodgkin's small cleaved cell lymphoma
1,39949,G732200,Gangrene of finger
1,12735,G732100,Gangrene of foot
1,23672,G732400,Gangrene of hand
1,51057,G732300,Gangrene of thumb
1,5414,G732000,Gangrene of toe
2,10368,B11..11,Gastric neoplasm
1,1262,J11..00,Gastric ulcer - (GU)
1,29771,J11z.00,Gastric ulcer NOS
1,64913,J14..12,Gastrocolic ulcer
1,23082,J14..00,Gastrojejunal ulcer (GJU)
1,15403,J14z.00,Gastrojejunal ulcer NOS
1,12555,G671z00,Generalised ischaemic cerebrovascular disease NOS
1,40053,G671.00,Generalised ischaemic cerebrovascular disease NOS
1,60188,H320200,Giant bullous emphysema
1,29472,N200.00,Giant cell arteritis with polymyalgia rheumatica
1,19512,C310400,Glycogenosis with hepatic cirrhosis
2,39629,B653100,Granulocytic sarcoma
1,46912,14AM.00,H/O: Heart failure in last year
1,50372,14AH.00,H/O: Myocardial infarction in last year
1,59534,14NB.00,H/O: Peripheral vascular disease procedure
1,16993,14AE.00,H/O: aortic aneurysm
1,719,14B4.00,H/O: asthma
1,41577,1477,H/O: cerebrovascular disease
1,5931,1461,H/O: dementia
1,6813,1434,H/O: diabetes mellitus
1,15058,14A6.00,H/O: heart failure
2,8828,14D1.00,H/O: nephritis
6,51708,A789X00,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu"
6,47632,A788U00,"HIV disease result/haematological+immunologic abnorms,NEC"
6,44617,A789600,HIV disease resulting in Burkitt's lymphoma
6,27853,A789500,HIV disease resulting in Kaposi's sarcoma
6,27641,A789300,HIV disease resulting in Pneumocystis carinii pneumonia
6,23951,A789200,HIV disease resulting in candidiasis
6,66368,A789100,HIV disease resulting in cytomegaloviral disease
